date,K-커버드형
2020-12-08,1245.04 
2020-12-07,1244.93 
2020-12-06,1244.95 
2020-12-05,1244.98 
2020-12-04,1245.81 
2020-12-03,1242.75 
2020-12-02,1238.72 
2020-12-01,1227.54 
2020-11-30,1238.00 
2020-11-29,1238.02 
2020-11-28,1238.04 
2020-11-27,1236.59 
2020-11-26,1230.19 
2020-11-25,1233.15 
2020-11-24,1229.97 
2020-11-23,1216.59 
2020-11-22,1216.61 
2020-11-21,1216.64 
2020-11-20,1214.90 
2020-11-19,1213.86 
2020-11-18,1212.98 
2020-11-17,1213.77 
2020-11-16,1196.94 
2020-11-15,1196.97 
2020-11-14,1196.99 
2020-11-13,1188.58 
2020-11-12,1192.13 
2020-11-11,1177.38 
2020-11-10,1176.27 
2020-11-09,1165.30 
2020-11-08,1165.32 
2020-11-07,1165.34 
2020-11-06,1163.39 
2020-11-05,1140.66 
2020-11-04,1135.44 
2020-11-03,1117.14 
2020-11-02,1104.31 
2020-11-01,1104.33 
2020-10-31,1104.35 
2020-10-30,1128.93 
2020-10-29,1138.75 
2020-10-28,1134.49 
2020-10-27,1139.97 
2020-10-26,1143.51 
2020-10-25,1143.53 
2020-10-24,1143.55 
2020-10-23,1140.32 
2020-10-22,1146.03 
2020-10-21,1143.00 
2020-10-20,1136.75 
2020-10-19,1134.51 
2020-10-18,1134.53 
2020-10-17,1134.55 
2020-10-16,1140.36 
2020-10-15,1147.44 
2020-10-14,1155.44 
2020-10-13,1154.16 
2020-10-12,1149.02 
2020-10-11,1149.03 
2020-10-10,1149.05 
2020-10-09,1149.07 
2020-10-08,1148.43 
2020-10-07,1139.54 
2020-10-06,1136.87 
2020-10-05,1125.14 
2020-10-04,1125.16 
2020-10-03,1125.18 
2020-10-02,1125.20 
2020-10-01,1125.22 
2020-09-30,1125.24 
2020-09-29,1118.11 
2020-09-28,1106.22 
2020-09-27,1106.24 
2020-09-26,1106.26 
2020-09-25,1102.73 
2020-09-24,1124.28 
2020-09-23,1121.40 
2020-09-22,1142.54 
2020-09-21,1149.58 
2020-09-20,1149.60 
2020-09-19,1149.62 
2020-09-18,1148.07 
2020-09-17,1159.84 
2020-09-16,1162.39 
2020-09-15,1155.89 
2020-09-14,1143.53 
2020-09-13,1143.55 
2020-09-12,1143.57 
2020-09-11,1143.62 
2020-09-10,1135.07 
2020-09-09,1145.99 
2020-09-08,1134.98 
2020-09-07,1130.04 
2020-09-06,1130.06 
2020-09-05,1130.08 
2020-09-04,1143.10 
2020-09-03,1128.73 
2020-09-02,1123.97 
2020-09-01,1115.82 
2020-08-31,1131.39 
2020-08-30,1131.43 
2020-08-29,1128.85 
2020-08-28,1137.14 
2020-08-27,1135.55 
2020-08-26,1123.35 
2020-08-25,1114.02 
2020-08-24,1114.02 
2020-08-23,1114.04 
2020-08-22,1114.06 
2020-08-21,1100.50 
2020-08-20,1135.86 
2020-08-19,1133.78 
2020-08-18,1152.13 
2020-08-17,1152.15 
2020-08-16,1152.17 
2020-08-15,1152.19 
2020-08-14,1163.47 
2020-08-13,1163.73 
2020-08-12,1164.05 
2020-08-11,1162.18 
2020-08-10,1159.87 
2020-08-09,1159.85 
2020-08-08,1159.87 
2020-08-07,1156.73 
2020-08-06,1149.55 
2020-08-05,1141.17 
2020-08-04,1132.10 
2020-08-03,1130.77 
2020-08-02,1130.79 
2020-08-01,1130.81 
2020-07-31,1136.53 
2020-07-30,1134.35 
2020-07-29,1132.46 
2020-07-28,1115.97 
2020-07-27,1108.24 
2020-07-26,1108.26 
2020-07-25,1108.28 
2020-07-24,1112.79 
2020-07-23,1117.10 
2020-07-22,1119.80 
2020-07-21,1108.91 
2020-07-20,1110.40 
2020-07-19,1110.42 
2020-07-18,1110.45 
2020-07-17,1104.06 
2020-07-16,1110.95 
2020-07-15,1104.28 
2020-07-14,1105.01 
2020-07-13,1091.66 
2020-07-12,1091.68 
2020-07-11,1097.48 
2020-07-10,1097.48 
2020-07-09,1093.40 
2020-07-08,1095.92 
2020-07-07,1107.12 
2020-07-06,1093.41 
2020-07-05,1093.43 
2020-07-04,1087.34 
2020-07-03,1087.34 
2020-07-02,1077.13 
2020-07-01,1076.58 
2020-06-30,1070.61 
2020-06-29,1083.70 
2020-06-28,1083.72 
2020-06-27,1083.74 
2020-06-26,1073.39 
2020-06-25,1092.94 
2020-06-24,1079.97 
2020-06-23,1078.34 
2020-06-22,1082.80 
2020-06-21,1082.82 
2020-06-20,1082.84 
2020-06-19,1077.99 
2020-06-18,1080.78 
2020-06-17,1080.17 
2020-06-16,1042.68 
2020-06-15,1079.66 
2020-06-14,1079.68 
2020-06-13,1079.70 
