date,rate
2020-12-08,2053.05 
2020-12-07,2049.78 
2020-12-06,2049.81 
2020-12-05,2049.84 
2020-12-04,2038.61 
2020-12-03,2033.43 
2020-12-02,2025.56 
2020-12-01,2017.19 
2020-11-30,2024.94 
2020-11-29,2024.97 
2020-11-28,2025.00 
2020-11-27,2022.49 
2020-11-26,2018.50 
2020-11-25,2023.85 
2020-11-24,2021.09 
2020-11-23,2006.34 
2020-11-22,2006.37 
2020-11-21,2006.40 
2020-11-20,2005.85 
2020-11-19,2005.58 
2020-11-18,2005.08 
2020-11-17,2005.39 
2020-11-16,1992.20 
2020-11-15,1992.23 
2020-11-14,1992.26 
2020-11-13,1985.85 
2020-11-12,1987.28 
2020-11-11,1980.21 
2020-11-10,1983.19 
2020-11-09,1977.55 
2020-11-08,1977.57 
2020-11-07,1977.60 
2020-11-06,1977.26 
2020-11-05,1962.98 
2020-11-04,1959.19 
2020-11-03,1948.65 
2020-11-02,1945.56 
2020-11-01,1945.58 
2020-10-31,1945.61 
2020-10-30,1959.73 
2020-10-29,1965.98 
2020-10-28,1963.47 
2020-10-27,1969.11 
2020-10-26,1969.20 
2020-10-25,1969.23 
2020-10-24,1969.25 
2020-10-23,1966.40 
2020-10-22,1970.16 
2020-10-21,1970.99 
2020-10-20,1968.94 
2020-10-19,1964.89 
2020-10-18,1964.91 
2020-10-17,1964.94 
2020-10-16,1969.15 
2020-10-15,1970.93 
2020-10-14,1974.86 
2020-10-13,1973.54 
2020-10-12,1972.75 
2020-10-11,1972.77 
2020-10-10,1972.80 
2020-10-09,1972.83 
2020-10-08,1972.09 
2020-10-07,1966.72 
2020-10-06,1970.13 
2020-10-05,1965.82 
2020-10-04,1965.85 
2020-10-03,1965.87 
2020-10-02,1965.90 
2020-10-01,1965.93 
2020-09-30,1965.96 
2020-09-29,1962.25 
2020-09-28,1953.67 
2020-09-27,1953.69 
2020-09-26,1953.72 
2020-09-25,1951.68 
2020-09-24,1962.24 
2020-09-23,1957.97 
2020-09-22,1969.48 
2020-09-21,1973.43 
2020-09-20,1973.45 
2020-09-19,1973.48 
2020-09-18,1970.92 
2020-09-17,1979.64 
2020-09-16,1980.35 
2020-09-15,1974.86 
2020-09-14,1967.38 
2020-09-13,1967.41 
2020-09-12,1967.43 
2020-09-11,1969.56 
2020-09-10,1963.78 
2020-09-09,1967.28 
2020-09-08,1959.46 
2020-09-07,1959.48 
2020-09-06,1959.50 
2020-09-05,1959.53 
2020-09-04,1967.15 
2020-09-03,1958.73 
2020-09-02,1953.74 
2020-09-01,1954.49 
2020-08-31,1963.60 
2020-08-30,1963.65 
2020-08-29,1965.64 
2020-08-28,1969.61 
2020-08-27,1971.59 
2020-08-26,1964.87 
2020-08-25,1960.34 
2020-08-24,1960.34 
2020-08-23,1960.36 
2020-08-22,1960.39 
2020-08-21,1955.89 
2020-08-20,1974.36 
2020-08-19,1972.62 
2020-08-18,1981.09 
2020-08-17,1981.11 
2020-08-16,1981.14 
2020-08-15,1981.17 
2020-08-14,1981.55 
2020-08-13,1985.45 
2020-08-12,1984.69 
2020-08-11,1977.45 
2020-08-10,1972.35 
2020-08-09,1972.33 
2020-08-08,1972.35 
2020-08-07,1970.98 
2020-08-06,1964.10 
2020-08-05,1957.79 
2020-08-04,1953.00 
2020-08-03,1954.07 
2020-08-02,1954.10 
2020-08-01,1954.12 
2020-07-31,1956.92 
2020-07-30,1954.75 
2020-07-29,1951.26 
2020-07-28,1942.18 
2020-07-27,1936.54 
2020-07-26,1936.57 
2020-07-25,1936.60 
2020-07-24,1939.20 
2020-07-23,1940.41 
2020-07-22,1942.42 
2020-07-21,1936.42 
2020-07-20,1936.08 
2020-07-19,1936.11 
2020-07-18,1936.14 
2020-07-17,1930.95 
