date,date
2020-12-08,1048.05 
2020-12-07,1043.47 
2020-12-06,1043.49 
2020-12-05,1043.50 
2020-12-04,1044.45 
2020-12-03,1045.25 
2020-12-02,1042.16 
2020-12-01,1045.10 
2020-11-30,1046.12 
2020-11-29,1046.14 
2020-11-28,1046.15 
2020-11-27,1044.20 
2020-11-26,1043.92 
2020-11-25,1043.22 
2020-11-24,1043.55 
2020-11-23,1042.42 
2020-11-22,1042.44 
2020-11-21,1042.45 
2020-11-20,1044.72 
2020-11-19,1043.21 
2020-11-18,1046.20 
2020-11-17,1042.15 
2020-11-16,1040.69 
2020-11-15,1040.71 
2020-11-14,1040.72 
2020-11-13,1041.97 
2020-11-12,1039.11 
2020-11-11,1038.57 
2020-11-10,1028.62 
2020-11-09,1029.44 
2020-11-08,1029.46 
2020-11-07,1029.47 
2020-11-06,1024.29 
2020-11-05,1016.46 
2020-11-04,1013.68 
2020-11-03,1004.04 
2020-11-02,1006.69 
2020-11-01,1006.70 
2020-10-31,1006.72 
2020-10-30,1003.27 
2020-10-29,1015.21 
2020-10-28,1017.91 
2020-10-27,1022.75 
2020-10-26,1020.59 
2020-10-25,1020.60 
2020-10-24,1020.61 
2020-10-23,1023.02 
2020-10-22,1023.60 
2020-10-21,1027.51 
2020-10-20,1027.28 
2020-10-19,1026.39 
2020-10-18,1026.41 
2020-10-17,1026.42 
2020-10-16,1032.39 
2020-10-15,1032.45 
2020-10-14,1032.87 
2020-10-13,1030.54 
2020-10-12,1023.90 
2020-10-11,1023.91 
2020-10-10,1023.93 
2020-10-09,1023.94 
2020-10-08,1026.11 
2020-10-07,1023.94 
2020-10-06,1022.98 
2020-10-05,1023.22 
2020-10-04,1023.24 
2020-10-03,1023.25 
2020-10-02,1023.26 
2020-10-01,1023.28 
2020-09-30,1023.29 
2020-09-29,1018.69 
2020-09-28,1020.35 
2020-09-27,1020.36 
2020-09-26,1020.38 
2020-09-25,1025.78 
2020-09-24,1025.82 
2020-09-23,1024.95 
2020-09-22,1034.74 
2020-09-21,1036.10 
2020-09-20,1036.11 
2020-09-19,1036.13 
2020-09-18,1040.02 
2020-09-17,1040.19 
2020-09-16,1038.00 
2020-09-15,1035.44 
2020-09-14,1038.72 
2020-09-13,1038.74 
2020-09-12,1038.75 
