property,insName,fCode,fName,price,earn1,earn3,earn5,fee,fClassCode,largeType,smallType,fSize,manager,trustee,riskClass,earnDev
일반,한화생명,KLVL01V5205,5대그룹주식형Ⅱ,1398.49,73.23,37.32,64.71,0.957,211AA60011000000Z,국내투자,주식형,191.25,미래에셋자산운용/신한자산운용,하나은행,1,25.39220451
일반,한화생명,KLVL01V5311,5대그룹주혼합형Ⅱ,1586.11,31.69,22.39,33.78,0.5438,2125005011000000Z,국내투자,주식혼합형,501.41,미래에셋자산운용/신한자산운용/한국투자신탁운용,하나은행,4,6.576093065
일반,한화생명,KLVL01V6304,5대그룹주혼합형Ⅲ,1594.16,31.87,22.81,34.53,0.5411,2125005011000000Z,국내투자,주식혼합형,330.63,미래에셋자산운용/신한자산운용,한국외환은행,4,6.406387438
일반,한화생명,KLVL01V9101,V파생혼합형,1347.64,7.02,10.23,18.36,0.3765,2179001011000000Z,국내투자,기타형,31320.67,DWS자산운용/KB자산운용/미래에셋자산운용/신한자산운용/우리자산운용/이스트스프링자산운용코리아/하나UBS자산운용/한국투자신탁운용/한화자산운용,하나은행,5,2.269812768
일반,한화생명,KLVL01V5203,가치주식형Ⅱ,1516.44,71.11,31.43,59.77,0.9208,211AA60011210000Z,국내투자,주식형,1837.1,DB자산운용/KB자산운용/마이다스에셋자산운용/미래에셋자산운용/베어링자산운용/브이아이피투자자문/신한자산운용/트리니티투자자문/하이자산운용,하나은행,1,28.05799708
일반,한화생명,KLVL01V4304,가치주혼합형,1816.26,31.99,23.26,32.87,0.5311,2125005011210000Z,국내투자,주식혼합형,1781.6,V&S투자자문/마이다스에셋자산운용/베어링자산운용/유리자산운용/한국투자신탁운용/한화자산운용,하나은행,4,6.1730422
일반,한화생명,KLVL01V2304,가치주혼합형,2559.38,29.88,20.32,33.18,0.5308,2125005011210000Z,국내투자,주식혼합형,5061.49,HDC자산운용/KB자산운용/V&S투자자문/교보악사자산운용/대신자산운용/미래에셋자산운용/브이아이피투자자문/신한자산운용/이스트스프링자산운용코리아/트러스톤자산운용/한국투자신탁운용/한화자산운용/현대인베스트먼트자산운용,하나은행,4,6.759940828
일반,한화생명,KLVL01V5302,가치주혼합형Ⅱ,2044.49,30.25,19.19,31.14,0.5082,2125005011210000Z,국내투자,주식혼합형,9584.85,DB자산운용/HDC자산운용/KB자산운용/NH-CA자산운용/마이다스에셋자산운용/미래에셋자산운용/베어링자산운용/브이아이피투자자문/신한자산운용/유진자산운용/트리니티투자자문/하이자산운용/한국투자신탁운용/한화자산운용/현대인베스트먼트자산운용,하나은행,4,7.820601
일반,한화생명,KLVL01V6302,가치주혼합형Ⅲ,1856.27,30.57,20.93,31.62,0.523,2125005011210000Z,국내투자,주식혼합형,6343.82,DB자산운용/DWS자산운용/KB자산운용/V&S투자자문/교보악사자산운용/스카이투자자문/신한자산운용/하이자산운용/한국투자신탁운용,한국외환은행,4,6.816509371
일반,한화생명,KLVL01V5305,대표주혼합형Ⅱ,2004.38,26.11,19.79,29.52,0.5224,2136004011000000Z,국내투자,채권혼합형,298.43,마이다스에셋자산운용/한국투자신탁운용,하나은행,5,4.468914857
일반,한화생명,KLVL01V5204,배당주식형Ⅱ,1390.19,68.12,23.52,42.45,0.957,211AA60011230000Z,국내투자,주식형,88.12,KB자산운용,하나은행,1,31.53696244
일반,한화생명,KLVL01V5306,배당주혼합형Ⅱ,1884.85,17.28,13.83,17.87,0.5014,2137003011230000Z,국내투자,채권혼합형,436.15,KB자산운용/한국투자신탁운용,하나은행,5,2.439518395
일반,한화생명,KLVL01V2302,배당플러스혼합형,2240.26,30.25,17.39,25.3,0.5445,2125005011230000Z,국내투자,주식혼합형,372.62,KB자산운용/한국투자신탁운용,하나은행,4,9.093393206
일반,한화생명,KLVL01V2201,성장주식형,2915.02,60.82,29.05,53.04,0.8717,2110109011220000Z,국내투자,주식형,1821.62,DB자산운용/HDC자산운용/V&S투자자문/대신자산운용/미래에셋자산운용/베어링자산운용/삼성액티브자산운용/스카이투자자문/신한자산운용/유리자산운용,하나은행,2,22.46478244
일반,한화생명,KLVL01V5201,성장주식형Ⅱ,1446.58,71.34,25.99,49.69,0.8695,211AA60011220000Z,국내투자,주식형,1739.47,HDC자산운용/미래에셋자산운용/삼성액티브자산운용/신한자산운용/유진자산운용/이스트스프링자산운용코리아,하나은행,1,32.06729253
일반,한화생명,KLVL01V5303,성장주혼합형Ⅱ,2153.36,31.74,19.92,32.81,0.5272,2125005011220000Z,국내투자,주식혼합형,5668.16,DB자산운용/J&J투자자문/KB자산운용/마이다스에셋자산운용/삼성액티브자산운용/신한자산운용/유진자산운용/이스트스프링자산운용코리아/한국투자신탁운용/한화자산운용,하나은행,4,8.358002154
